epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,128.2,0.38048,0.48831,0.82556,0.99776,1,0.995,0.96461,0.29423,0.30631,0.75273,0.0004357,0.0004357,0.0004357
59,130.35,0.35893,0.45887,0.81729,0.99651,1,0.995,0.96765,0.28723,0.30069,0.75101,0.0004258,0.0004258,0.0004258
60,132.557,0.36245,0.45681,0.82699,0.99582,1,0.995,0.9648,0.292,0.30161,0.75474,0.0004159,0.0004159,0.0004159
61,134.839,0.37155,0.44741,0.81811,0.99616,1,0.995,0.9674,0.28644,0.30082,0.75398,0.000406,0.000406,0.000406
62,137.091,0.37688,0.46148,0.82136,0.99624,1,0.995,0.96629,0.28373,0.30726,0.75253,0.0003961,0.0003961,0.0003961
63,139.336,0.3509,0.43636,0.81485,0.99699,1,0.995,0.96897,0.27952,0.29346,0.75089,0.0003862,0.0003862,0.0003862
64,141.568,0.3398,0.44633,0.8196,0.99552,1,0.995,0.97458,0.2833,0.29536,0.74812,0.0003763,0.0003763,0.0003763
65,143.603,0.35731,0.45119,0.82482,0.99321,1,0.995,0.97578,0.27644,0.29601,0.74439,0.0003664,0.0003664,0.0003664
66,145.614,0.35481,0.43446,0.8221,0.99467,1,0.995,0.96923,0.27163,0.28671,0.74579,0.0003565,0.0003565,0.0003565
67,147.586,0.36718,0.43933,0.80566,0.99662,1,0.995,0.97362,0.2726,0.28758,0.74728,0.0003466,0.0003466,0.0003466
68,149.621,0.34723,0.42378,0.80708,0.99662,1,0.995,0.97425,0.2753,0.29161,0.75093,0.0003367,0.0003367,0.0003367
69,151.779,0.36567,0.42909,0.8206,0.99783,1,0.995,0.96997,0.28288,0.28566,0.75018,0.0003268,0.0003268,0.0003268
70,153.916,0.3462,0.40195,0.8125,0.99631,1,0.995,0.96968,0.27111,0.27227,0.74595,0.0003169,0.0003169,0.0003169
71,156.077,0.33946,0.40795,0.82571,0.99733,1,0.995,0.97305,0.278,0.2738,0.74691,0.000307,0.000307,0.000307
72,158.327,0.34892,0.42282,0.82894,0.99498,1,0.995,0.97562,0.25265,0.25787,0.74535,0.0002971,0.0002971,0.0002971
73,160.504,0.35486,0.40152,0.8192,0.99192,0.99998,0.995,0.97153,0.26146,0.26526,0.74666,0.0002872,0.0002872,0.0002872
74,162.678,0.32448,0.39438,0.80194,0.99467,1,0.995,0.97337,0.25976,0.25897,0.74629,0.0002773,0.0002773,0.0002773
75,164.816,0.33126,0.37927,0.80704,0.99622,1,0.995,0.97503,0.26242,0.26245,0.74644,0.0002674,0.0002674,0.0002674
76,166.98,0.34137,0.39018,0.80871,0.99492,1,0.995,0.96811,0.27345,0.26607,0.74726,0.0002575,0.0002575,0.0002575
77,169.134,0.34548,0.38239,0.81001,0.99527,1,0.995,0.97349,0.25283,0.26304,0.74615,0.0002476,0.0002476,0.0002476
78,171.319,0.32898,0.38624,0.8287,0.99745,1,0.995,0.97726,0.24998,0.25769,0.74664,0.0002377,0.0002377,0.0002377
79,173.497,0.33941,0.38873,0.80891,0.99704,1,0.995,0.97469,0.26273,0.26211,0.74985,0.0002278,0.0002278,0.0002278
80,175.674,0.31522,0.37821,0.81043,0.99732,1,0.995,0.97644,0.24622,0.25584,0.74588,0.0002179,0.0002179,0.0002179
81,177.925,0.34177,0.39782,0.8189,0.99741,1,0.995,0.98211,0.24229,0.25044,0.74507,0.000208,0.000208,0.000208
82,180.125,0.32712,0.39175,0.81641,0.99756,1,0.995,0.98044,0.23045,0.25022,0.74207,0.0001981,0.0001981,0.0001981
83,182.292,0.31637,0.37934,0.8145,0.99749,1,0.995,0.97684,0.23017,0.25156,0.74026,0.0001882,0.0001882,0.0001882
84,184.461,0.31861,0.37038,0.81158,0.99701,1,0.995,0.97741,0.23861,0.25314,0.73935,0.0001783,0.0001783,0.0001783
85,186.621,0.29771,0.35282,0.80954,0.99698,1,0.995,0.97843,0.23449,0.2512,0.73856,0.0001684,0.0001684,0.0001684
86,188.769,0.32708,0.38682,0.80753,0.99717,1,0.995,0.97975,0.23378,0.24684,0.73869,0.0001585,0.0001585,0.0001585
87,190.934,0.30232,0.369,0.81648,0.99706,1,0.995,0.97642,0.2393,0.24851,0.73965,0.0001486,0.0001486,0.0001486
88,193.209,0.31706,0.38866,0.80281,0.99723,1,0.995,0.98015,0.23054,0.24302,0.73936,0.0001387,0.0001387,0.0001387
89,195.408,0.30818,0.3523,0.80504,0.99742,1,0.995,0.98036,0.23362,0.24367,0.73981,0.0001288,0.0001288,0.0001288
90,197.642,0.30018,0.35986,0.81841,0.99789,1,0.995,0.97759,0.23416,0.24173,0.74119,0.0001189,0.0001189,0.0001189
91,200.079,0.26324,0.35169,0.79994,0.99778,1,0.995,0.97888,0.2297,0.23942,0.74053,0.000109,0.000109,0.000109
92,202.24,0.26043,0.35416,0.7839,0.99705,1,0.995,0.9793,0.23243,0.24168,0.74001,9.91e-05,9.91e-05,9.91e-05
93,204.397,0.25364,0.35307,0.77824,0.99676,1,0.995,0.98107,0.22528,0.23747,0.73971,8.92e-05,8.92e-05,8.92e-05
94,206.55,0.26816,0.35094,0.7914,0.99695,1,0.995,0.9803,0.22215,0.23228,0.7396,7.93e-05,7.93e-05,7.93e-05
95,208.703,0.25984,0.33876,0.79736,0.99701,1,0.995,0.98133,0.22135,0.2276,0.73947,6.94e-05,6.94e-05,6.94e-05
96,210.844,0.23802,0.3298,0.78216,0.99708,1,0.995,0.98089,0.22143,0.23122,0.73858,5.95e-05,5.95e-05,5.95e-05
97,213.008,0.24096,0.33793,0.79439,0.99732,1,0.995,0.98113,0.21834,0.22919,0.73782,4.96e-05,4.96e-05,4.96e-05
98,215.156,0.25152,0.33552,0.77969,0.99743,1,0.995,0.98017,0.21431,0.22655,0.73668,3.97e-05,3.97e-05,3.97e-05
99,217.414,0.23333,0.324,0.79035,0.99749,1,0.995,0.9805,0.21128,0.22494,0.73665,2.98e-05,2.98e-05,2.98e-05
100,219.574,0.23242,0.33471,0.79274,0.99759,1,0.995,0.9813,0.20993,0.22412,0.73731,1.99e-05,1.99e-05,1.99e-05
